"","mean","se_mean","sd","2.5%","25%","50%","75%","97.5%","n_eff","Rhat","parameter"
"lambda[206]",0.00116921317820495,2.51063806996392e-05,0.000956638922987587,0.000160167695356899,0.000522775915606117,0.000895177065020716,0.00151097294295902,0.00376073980608541,1451.87047761599,1.00039460872627,"lambda[206]"
"lambda[207]",0.00270552544380862,4.53899997004703e-05,0.00185168351257403,0.000509938447019448,0.00140841260452879,0.00224581599859545,0.00346737459185963,0.00774162923016719,1664.22928339258,1.00102233621047,"lambda[207]"
"lambda[208]",0.00302736299033672,4.91978585698586e-05,0.00208011653493513,0.000574913008237383,0.00153914752023863,0.00249077638193907,0.003937601712455,0.00854323580571215,1787.65181061598,1.00305550259801,"lambda[208]"
"lambda[209]",0.00194110547069426,3.10479089287716e-05,0.00139109740542945,0.000336663812177029,0.000974087718823345,0.00160353834065827,0.00249882087504149,0.00559873524387267,2007.47603544826,1.00017574904227,"lambda[209]"
"lambda[210]",0.00217452510452886,3.74426625255313e-05,0.00182287773640395,0.000254102471108809,0.000922151415158893,0.0016591673740172,0.00282990631129369,0.00729176528612328,2370.18166542629,1.00039290084245,"lambda[210]"
"lambda[211]",0.00347433337359723,4.86035501194948e-05,0.0028189449851439,0.000465636085704111,0.00160449521486462,0.00271804090677743,0.00442762759151522,0.0108823208103879,3363.85460216612,1.00004456631297,"lambda[211]"
"lambda[212]",0.00283529718145818,6.13553528939986e-05,0.00201978483854073,0.000467802250572811,0.0014038472240147,0.00231632969587966,0.00372686224157451,0.00803587858853358,1083.6905818146,1.00250590581037,"lambda[212]"
"lambda[213]",0.00187573683015232,3.11758260079342e-05,0.00134414145180403,0.00031731844364128,0.000939796157363398,0.00152715499900247,0.00242063274480958,0.00536701671543064,1858.89136880332,1.00039777008463,"lambda[213]"
"lambda[214]",0.00501485957805072,5.74962896912371e-05,0.00343247424379688,0.00105292551808781,0.00264884366358265,0.00416051799808734,0.00633757419640995,0.0138958184463014,3563.97734071744,1.00053180529516,"lambda[214]"
"lambda[215]",0.00199006361499659,4.14552462359425e-05,0.00148487668635902,0.000337460303392619,0.000973616244296198,0.00160304811553809,0.00258177731103438,0.00590713083651643,1282.98559097633,1.00348672180337,"lambda[215]"
"lambda[216]",0.000649577706101189,1.92488213927095e-05,0.000661410012437807,5.84699066755838e-05,0.000236390587278911,0.000453331737269972,0.000834293987332889,0.00235140790611262,1180.68282145671,1.00120085309226,"lambda[216]"
"lambda[217]",0.00479419946832633,7.34892630886281e-05,0.00321032985847336,0.000976352657791155,0.00259003558637132,0.00403982326795286,0.00608592114919727,0.0127871208481278,1908.3214463442,1.00168664306914,"lambda[217]"
"lambda[218]",0.00257146902094577,3.81579505345745e-05,0.00208058590077796,0.000330492139050119,0.00117048143444803,0.0020143387290863,0.00335626573346667,0.00794525077681986,2973.04320766533,1.00079738173055,"lambda[218]"
"lambda[219]",0.00518147971721911,8.17390284209929e-05,0.00343523249955295,0.00110799483471759,0.00282808569546774,0.00437398118465172,0.00658789345671902,0.0139429949953969,1766.25469460292,1.00244663604066,"lambda[219]"
"lambda[220]",0.00745105444777215,0.000134813978337398,0.00497492668158098,0.00157778526628911,0.00410294657876671,0.00620956880337677,0.00950901319254332,0.0194948532980002,1361.76923897945,1.00187528191682,"lambda[220]"
"lambda[221]",0.0305083342459697,0.00055460793922293,0.0268282578678325,0.00537440384453573,0.0138074296273078,0.0224534107961869,0.0380320775496109,0.100041140498837,2339.98341688433,0.999752160541661,"lambda[221]"
"lambda[222]",0.00203534583503902,4.93273845252856e-05,0.00169987116978447,0.000261056703316778,0.000892787066082911,0.00156278405431983,0.00264785315666164,0.00657815406306016,1187.5607608476,1.00133532774618,"lambda[222]"
"lambda[223]",0.00205451731636449,4.95967276460436e-05,0.00174507016432307,0.000245927458222493,0.000867311274007672,0.0015725933008986,0.00268034545049986,0.00682098332225401,1237.99742325608,1.00202105990144,"lambda[223]"
"lambda[224]",0.0025795797601143,4.96812466087338e-05,0.00183456381110141,0.00045207039917656,0.0013014297703265,0.00210914058327676,0.00336711926717713,0.00738841152094891,1363.58016494543,1.00387828827437,"lambda[224]"
"lambda[225]",0.00197787754649693,4.11110312832506e-05,0.0014943627542745,0.000302573374710758,0.000938739096262947,0.00157024614470485,0.00257071518578661,0.0059529885172753,1321.28141573168,1.00057812888015,"lambda[225]"
"lambda[226]",0.00248348784602285,5.76269756640942e-05,0.00187893766272686,0.000413838814970443,0.00123349168198531,0.00200041657077761,0.00315112350568256,0.0073447438872567,1063.09747805928,1.00217367463367,"lambda[226]"
"lambda[227]",0.00385393391062632,5.06702971426222e-05,0.0026807156372995,0.000839569914604168,0.00204971250201327,0.00321101554573099,0.00484932991356647,0.0108445000247231,2798.94647356987,1.00025814044767,"lambda[227]"
